"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"h>ALOX5",0.459740586201426,0.0198936366237942,0.0521790454190782,0.381257197482584,0.70301241083409,NA
"h>ALOX5AP",0.232952937706026,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ALPK1",0.227288661644747,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ALS2CR8",0.237814477687458,-0.00267997343889962,0.0442580081867004,-0.0605534127879021,0.951714876604979,NA
"h>AMBRA1",1.79285364351922,0.0694378373512539,0.11455103007641,0.606173836280097,0.544399324643589,NA
"h>AMD1",42.8909825708476,-0.198023194622639,0.175908169183459,-1.12571914960991,0.26028441552706,0.854132179377679
"h>AMFR",0.576478104613932,0.101729908687851,0.0740286859942604,1.3741957907471,0.169380907173028,NA
"h>AMMECR1",0.482733242088807,-0.00556227497805792,0.0615158827237613,-0.0904201440632082,0.927953349611988,NA
"h>AMMECR1L",1.44660758037101,0.038302052096416,0.08898059358724,0.430453996228551,0.666865424229833,NA
"h>AMOTL1",0.434979333690411,-0.0418131019936098,0.0522125569562223,-0.800824637427124,0.423233173791245,NA
"h>AMOTL2",0.857899052126402,0.0615721212848108,0.0941869670261403,0.653722306056658,0.513290729594918,NA
"h>AMPD2",0.224562834017056,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>AMPD3",0.237814477687458,-0.00267997343889962,0.0442580081867004,-0.0605534127879021,0.951714876604979,NA
"h>AMPH",0.24761754816956,-0.00275333359187876,0.0448518468957854,-0.0613872957846355,0.951050769773532,NA
"h>AMZ2",0.33552588827404,0.029849843878471,0.0487537347096114,0.612257585111451,0.540367347441345,NA
"h>ANAPC1",0.227288661644747,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ANAPC10",0.351915270596876,0.0419529001506142,0.0576163113950573,0.728142762610333,0.466526199176142,NA
"h>ANAPC11",0.353218049295766,0.00797288557245577,0.0493577375246936,0.161532638493953,0.8716739070829,NA
"h>ANAPC13",0.237814477687458,-0.00267997343889962,0.0442580081867004,-0.0605534127879021,0.951714876604979,NA
